# nruns = 10
# regions = True
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
0,0.95,72.77222755253315,0,512
0,0.9316326530612244,6939.279034423828,256,256
0,0.9132653061224489,10738.85887451172,256,256
0,0.8948979591836734,14797.164776611327,256,256
0,0.8765306122448979,8590.289572143554,264,248
0,0.8581632653061224,3672.837449645996,128,384
0,0.8397959183673469,3179.468157958984,114,398
0,0.8214285714285714,4086.3378051757813,168,344
0,0.8030612244897959,2924.0546897888185,171,341
0,0.7846938775510204,1724.0962440490723,146,366
0,0.7663265306122449,1978.2659996032714,252,260
0,0.7479591836734694,2341.15191116333,183,329
0,0.7295918367346939,1071.482992553711,241,271
0,0.7112244897959183,1076.9345092773438,222,290
0,0.6928571428571428,1288.152717590332,275,237
0,0.6744897959183673,1212.0338344573975,294,218
0,0.6561224489795918,442.7903251647949,267,245
0,0.6377551020408163,1016.709937286377,316,196
0,0.6193877551020408,1792.731213951111,301,211
0,0.6010204081632653,654.3658393859863,330,182
0,0.5826530612244898,833.165315246582,340,172
0,0.5642857142857143,820.9750244140625,352,160
0,0.5459183673469388,357.45420989990237,292,220
0,0.5275510204081633,515.560737991333,253,259
0,0.5091836734693878,254.19899654388428,331,181
0,0.49081632653061225,431.10868110656736,323,189
0,0.47244897959183674,316.9771858215332,300,212
0,0.45408163265306123,250.1683744430542,317,195
0,0.4357142857142857,545.6983180046082,313,199
0,0.4173469387755102,450.0360915184021,305,207
0,0.3989795918367347,243.81530303955077,334,178
0,0.3806122448979592,584.6288536071777,316,196
0,0.3622448979591837,279.63341293334963,319,193
0,0.3438775510204082,149.48049669265748,330,182
0,0.32551020408163267,155.5430787086487,322,190
0,0.30714285714285716,159.51224431991577,314,198
0,0.28877551020408165,113.47607583999634,322,190
0,0.27040816326530615,150.70143909454345,348,164
0,0.25204081632653064,82.85328419208527,324,188
0,0.23367346938775513,89.47507870197296,311,201
0,0.21530612244897962,75.03987593650818,335,177
0,0.1969387755102041,74.10514786243439,339,173
0,0.1785714285714286,69.85515103340148,352,160
0,0.1602040816326531,74.53079273700715,366,146
0,0.1418367346938776,89.25451622009277,342,170
0,0.12346938775510208,76.67647676467895,322,190
0,0.10510204081632657,78.86275750398636,323,189
0,0.08673469387755106,60.58209617137909,354,158
0,0.06836734693877555,40.82963935136795,328,184
0,0.05,70.02690315246582,335,177
1,0.95,9.080861765146256,239,273
1,0.9316326530612244,3792.0295791625977,256,256
1,0.9132653061224489,6514.439559936523,256,256
1,0.8948979591836734,13603.989865112304,256,256
1,0.8765306122448979,9032.904290771485,258,254
1,0.8581632653061224,11175.337496948243,278,234
1,0.8397959183673469,14261.660778808593,78,434
1,0.8214285714285714,7258.919958496093,222,290
1,0.8030612244897959,1812.6496780395507,248,264
1,0.7846938775510204,3119.0881507873537,154,358
1,0.7663265306122449,4228.266802978515,240,272
1,0.7479591836734694,1888.4726837158203,251,261
1,0.7295918367346939,1700.6415035247803,282,230
1,0.7112244897959183,1567.3325592041015,288,224
1,0.6928571428571428,705.5981460571289,304,208
1,0.6744897959183673,416.64951820373534,275,237
1,0.6561224489795918,920.7890190124511,246,266
1,0.6377551020408163,746.0037311553955,308,204
1,0.6193877551020408,601.0525113582611,330,182
1,0.6010204081632653,543.3649149417877,332,180
1,0.5826530612244898,428.5350296974182,329,183
1,0.5642857142857143,564.585855770111,328,184
1,0.5459183673469388,543.4336435317994,268,244
1,0.5275510204081633,563.9487216949462,350,162
1,0.5091836734693878,181.37017307281494,273,239
1,0.49081632653061225,170.28886880874634,343,169
1,0.47244897959183674,294.51301965713503,360,152
1,0.45408163265306123,229.41044807434082,290,222
1,0.4357142857142857,242.37971057891846,354,158
1,0.4173469387755102,253.40118522644042,328,184
1,0.3989795918367347,273.51797142028806,360,152
1,0.3806122448979592,110.64721913337708,366,146
1,0.3622448979591837,172.38447999954224,366,146
1,0.3438775510204082,160.02631030082702,368,144
1,0.32551020408163267,114.80451898574829,345,167
1,0.30714285714285716,198.71039390563965,356,156
1,0.28877551020408165,149.92756385803222,354,158
1,0.27040816326530615,60.077191495895384,315,197
1,0.25204081632653064,109.64693522453308,320,192
1,0.23367346938775513,87.71301279067993,352,160
1,0.21530612244897962,121.78875522613525,350,162
1,0.1969387755102041,88.62468810081482,322,190
1,0.1785714285714286,101.38777408599853,324,188
